at,v,ap,rh,0.1,0.2,0.3,0.4,0.5,0.6,s
8.34,40.77,1010.84,90.01,0,0,0,0,0,0,480.48
23.64,58.49,1011.4,74.2,0,0,0,0,0,0,445.75
29.74,56.9,1007.15,41.91,0,0,0,0,0,0,438.76
19.07,49.69,1007.22,76.79,0,0,0,0,0,0,453.09
11.8,40.66,1017.13,97.2,0,0,0,0,0,0,464.43
13.97,39.16,1016.05,84.6,0,0,0,0,0,0,470.96
22.1,71.29,1008.2,75.38,0,0,0,0,0,0,442.35
14.47,41.76,1021.98,78.41,0,0,0,0,0,0,464
31.25,69.51,1010.25,36.83,0,0,0,0,0,0,428.77
6.77,38.18,1017.8,81.13,0,0,0,0,0,0,484.31
28.28,68.67,1006.36,69.9,0,0,0,0,0,0,435.29
22.99,46.93,1014.15,49.42,0,0,0,0,0,0,451.41
29.3,70.04,1010.95,61.23,0,0,0,0,0,0,426.25
8.14,37.49,1009.04,80.33,0,0,0,0,0,0,480.66
16.92,44.6,1017.34,58.75,0,0,0,0,0,0,460.17
22.72,64.15,1021.14,60.34,0,0,0,0,0,0,453.13
18.14,43.56,1012.83,47.1,0,0,0,0,0,0,461.71
11.49,44.63,1020.44,86.04,0,0,0,0,0,0,471.08
9.94,40.46,1018.9,68.51,0,0,0,0,0,0,473.74
23.54,41.1,1002.05,38.05,0,0,0,0,0,0,448.56
14.9,52.05,1015.11,77.33,0,0,0,0,0,0,464.82
33.8,64.96,1004.88,49.37,0,0,0,0,0,0,427.28
25.37,68.31,1011.12,70.99,0,0,0,0,0,0,441.76
7.29,41.04,1024.06,89.19,0,0,0,0,0,0,474.71
13.55,40.71,1019.13,75.44,0,0,0,0,0,0,467.21
6.39,35.57,1025.53,77.23,0,0,0,0,0,0,487.69
26.64,62.44,1011.81,72.46,0,0,0,0,0,0,438.67
7.84,41.39,1018.21,91.92,0,0,0,0,0,0,485.66
21.82,58.66,1011.71,64.37,0,0,0,0,0,0,452.16
27.17,67.45,1015.67,49.03,0,0,0,0,0,0,429.87
13.42,41.23,994.17,95.79,0,0,0,0,0,0,468.82
20.77,56.85,1012.4,83.63,0,0,0,0,0,0,442.85
